scenario_num, time_interval_threshold(ms), tp, tn, fp, fn, accuracy, precision, recall, false_alarm_rate, f1_score
1, 1, 0, 94362, 12, 0, 0.999746, 0.000000, 0.000000, 0.000127, nan
1, 2, 0, 94368, 6, 0, 0.999873, 0.000000, 0.000000, 0.000064, nan
1, 3, 0, 94370, 4, 0, 0.999915, 0.000000, 0.000000, 0.000042, nan
1, 4, 0, 94373, 1, 0, 0.999979, 0.000000, 0.000000, 0.000011, nan
1, 5, 0, 94373, 1, 0, 0.999979, 0.000000, 0.000000, 0.000011, nan
1, 6, 0, 94373, 1, 0, 0.999979, 0.000000, 0.000000, 0.000011, nan
1, 7, 0, 94373, 1, 0, 0.999979, 0.000000, 0.000000, 0.000011, nan
1, 8, 0, 94374, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
2, 1, 0, 100352, 9, 0, 0.999821, 0.000000, 0.000000, 0.000090, nan
2, 2, 0, 100359, 2, 0, 0.999960, 0.000000, 0.000000, 0.000020, nan
2, 3, 0, 100361, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
2, 4, 0, 100361, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
2, 5, 0, 100361, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
2, 6, 0, 100361, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
2, 7, 0, 100361, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
2, 8, 0, 100361, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
3, 1, 0, 19227, 1, 0, 0.999896, 0.000000, 0.000000, 0.000052, nan
3, 2, 0, 19227, 1, 0, 0.999896, 0.000000, 0.000000, 0.000052, nan
3, 3, 0, 19227, 1, 0, 0.999896, 0.000000, 0.000000, 0.000052, nan
3, 4, 0, 19228, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
3, 5, 0, 19228, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
3, 6, 0, 19228, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
3, 7, 0, 19228, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
3, 8, 0, 19228, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
4, 1, 0, 19218, 1, 0, 0.999896, 0.000000, 0.000000, 0.000052, nan
4, 2, 0, 19219, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
4, 3, 0, 19219, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
4, 4, 0, 19219, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
4, 5, 0, 19219, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
4, 6, 0, 19219, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
4, 7, 0, 19219, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
4, 8, 0, 19219, 0, 0, 1.000000, 0.000000, 0.000000, 0.000000, nan
